date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,index_flag,issuer,div_convention,exercise_style
2014-03-03,2014-03-07,C,400000,126.05,127.8,0,3,,102646466,0,APPLE INC,,A
2014-03-03,2014-03-07,C,410000,116.05,117.8,0,0,,102646467,0,APPLE INC,,A
2014-03-03,2014-03-07,C,420000,106.05,107.9,0,0,,102646468,0,APPLE INC,,A
2014-03-03,2014-03-07,C,430000,96.05,97.85,0,0,,102646469,0,APPLE INC,,A
2014-03-03,2014-03-07,C,440000,86.05,87.85,0,87,,102646470,0,APPLE INC,,A
2014-03-03,2014-03-07,C,450000,76.05,77.95,0,28,,102646471,0,APPLE INC,,A
2014-03-03,2014-03-07,C,460000,65.95,68.05,0,4,,102646472,0,APPLE INC,,A
2014-03-03,2014-03-07,C,470000,55.95,57.6,2,28,,102646473,0,APPLE INC,,A
2014-03-03,2014-03-07,C,475000,50.95,52.6,0,5,,102878174,0,APPLE INC,,A
2014-03-03,2014-03-07,C,480000,45.95,47.95,0,26,,102646474,0,APPLE INC,,A
2014-03-03,2014-03-07,C,482500,43.45,45.4,0,13,,102646475,0,APPLE INC,,A
2014-03-03,2014-03-07,C,485000,40.9,42.65,0,21,,102646476,0,APPLE INC,,A
2014-03-03,2014-03-07,C,487500,38.4,40.8,0,0,,102646477,0,APPLE INC,,A
2014-03-03,2014-03-07,C,490000,35.9,37.7,6,45,,102646478,0,APPLE INC,,A
2014-03-03,2014-03-07,C,492500,33.4,35.2,0,23,,102646479,0,APPLE INC,,A
2014-03-03,2014-03-07,C,495000,30.9,32.7,1,127,,102646480,0,APPLE INC,,A
2014-03-03,2014-03-07,C,497500,29.8,30.2,26,67,,102646481,0,APPLE INC,,A
2014-03-03,2014-03-07,C,500000,27.35,27.75,136,290,,102646482,0,APPLE INC,,A
2014-03-03,2014-03-07,C,502500,24.85,25.3,6,136,,102646483,0,APPLE INC,,A
2014-03-03,2014-03-07,C,505000,22.35,22.85,154,113,,102646484,0,APPLE INC,,A
2014-03-03,2014-03-07,C,507500,20,20.4,237,432,,102646485,0,APPLE INC,,A
2014-03-03,2014-03-07,C,510000,17.75,18.05,360,523,0.208215,102646486,0,APPLE INC,,A
2014-03-03,2014-03-07,C,512500,15.25,15.75,82,461,0.204832,102646487,0,APPLE INC,,A
2014-03-03,2014-03-07,C,515000,13.15,13.5,1036,598,0.220985,102646488,0,APPLE INC,,A
2014-03-03,2014-03-07,C,517500,11.1,11.3,814,669,0.223503,102646489,0,APPLE INC,,A
2014-03-03,2014-03-07,C,520000,9.2,9.5,5460,2692,0.233572,102646490,0,APPLE INC,,A
2014-03-03,2014-03-07,C,522500,7.45,7.6,3791,1513,0.231689,102646491,0,APPLE INC,,A
2014-03-03,2014-03-07,C,525000,5.9,6.05,11544,3410,0.234091,102646492,0,APPLE INC,,A
2014-03-03,2014-03-07,C,527500,4.6,4.7,5719,1571,0.236645,102646493,0,APPLE INC,,A
2014-03-03,2014-03-07,C,530000,3.45,3.55,16839,6692,0.236817,102646494,0,APPLE INC,,A
2014-03-03,2014-03-07,C,532500,2.55,2.61,3860,1962,0.237911,102646495,0,APPLE INC,,A
2014-03-03,2014-03-07,C,535000,1.84,1.85,10702,5449,0.238434,102646496,0,APPLE INC,,A
2014-03-03,2014-03-07,C,537500,1.28,1.3,4130,2622,0.239442,102646497,0,APPLE INC,,A
2014-03-03,2014-03-07,C,540000,0.89,0.91,8688,5303,0.242387,102646498,0,APPLE INC,,A
2014-03-03,2014-03-07,C,542500,0.62,0.64,2590,1702,0.246744,102646499,0,APPLE INC,,A
2014-03-03,2014-03-07,C,545000,0.43,0.44,2791,3955,0.250915,102646500,0,APPLE INC,,A
2014-03-03,2014-03-07,C,547500,0.31,0.32,930,1270,0.258204,102646501,0,APPLE INC,,A
2014-03-03,2014-03-07,C,550000,0.22,0.24,4448,4756,0.265746,102646502,0,APPLE INC,,A
2014-03-03,2014-03-07,C,552500,0.16,0.18,772,807,0.273632,102646503,0,APPLE INC,,A
2014-03-03,2014-03-07,C,555000,0.13,0.14,1329,1019,0.284493,102878175,0,APPLE INC,,A
2014-03-03,2014-03-07,C,557500,0.1,0.11,122,117,0.293837,102878176,0,APPLE INC,,A
2014-03-03,2014-03-07,C,560000,0.08,0.09,1241,5571,0.304495,102646504,0,APPLE INC,,A
2014-03-03,2014-03-07,C,562500,0.07,0.08,27,90,0.318356,102878177,0,APPLE INC,,A
2014-03-03,2014-03-07,C,565000,0.06,0.07,651,595,0.330941,102878178,0,APPLE INC,,A
2014-03-03,2014-03-07,C,567500,0.05,0.06,241,49,0.342019,102878179,0,APPLE INC,,A
2014-03-03,2014-03-07,C,570000,0.04,0.06,221,1212,0.355747,102646505,0,APPLE INC,,A
2014-03-03,2014-03-07,C,572500,0.04,0.05,43,119,0.368647,102878180,0,APPLE INC,,A
2014-03-03,2014-03-07,C,580000,0.02,0.04,335,1038,0.401316,102646506,0,APPLE INC,,A
2014-03-03,2014-03-07,C,590000,0.02,0.03,7,1589,0.456584,102646507,0,APPLE INC,,A
2014-03-03,2014-03-07,C,600000,0,0.03,200,1595,,102646508,0,APPLE INC,,A
2014-03-03,2014-03-07,P,400000,0,0.01,0,40,,102646509,0,APPLE INC,,A
2014-03-03,2014-03-07,P,410000,0,0.01,53,8,,102646510,0,APPLE INC,,A
2014-03-03,2014-03-07,P,420000,0,0.02,110,29,,102646511,0,APPLE INC,,A
2014-03-03,2014-03-07,P,430000,0.01,0.02,188,28,,102646512,0,APPLE INC,,A
2014-03-03,2014-03-07,P,440000,0.01,0.03,51,476,,102646513,0,APPLE INC,,A
2014-03-03,2014-03-07,P,450000,0.02,0.03,90,917,,102646514,0,APPLE INC,,A
2014-03-03,2014-03-07,P,460000,0.01,0.04,41,215,,102646515,0,APPLE INC,,A
2014-03-03,2014-03-07,P,470000,0.02,0.04,165,388,0.487645,102646516,0,APPLE INC,,A
2014-03-03,2014-03-07,P,475000,0.03,0.04,80,155,0.455044,102878181,0,APPLE INC,,A
2014-03-03,2014-03-07,P,480000,0.05,0.06,113,933,0.436897,102646517,0,APPLE INC,,A
2014-03-03,2014-03-07,P,482500,0.05,0.07,32,633,0.420218,102646518,0,APPLE INC,,A
